Druckereien,Zeitungsdruck,121,1598357,Ziegler UG (haftungsbeschränkt) & Co. KG,"Römmeltstrasse 9, DE-36169 Rasdorf",Römmeltstrasse,9,DE-36169,Rasdorf,+49 6651 919062,huenfelder-echo@huenfelder-echo.de,http://www.huenfelder-echo.de,Regional,Mitarbeiteranzahl: 20 - 49,,"Anzeigenservice für Publikationen (producer, service), Verlage (service), Werbeanzeigen (producer, service), Werbebeilagen für Zeitschriften und Zeitungen (producer, service), Zeitungsdruck (producer, service), Zeitungsverlage (producer, service), Zeitungswerbung (producer, service)"
Druckereien,Zeitungsdruck,121,1724766,Zentral Druck u. Verlags UG,"Hauptstr. 38, DE-56269 Dierdorf",Hauptstr.,38,DE-56269,Dierdorf,+49 2689 9297055,info@z-d-v.de,http://www.z-d-v.de,National,Mitarbeiteranzahl: 5 - 9,,"Offsetdruck (service), Prospekte (producer), Verlage (service), Werbeanzeigen (producer), Werbebroschüren (producer), Zeitschriftenverlage (service), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,1060787,ZEITUNGSVERLAG ISERLOHN Iserlohner Kreisanzeiger und Zeitung (IKZ) Wichelhoven Verlags-GmbH & Co. KG,"Theodor-Heuss-Ring 4-6, DE-58636 Iserlohn",Theodor-Heuss-Ring,4-6,DE-58636,Iserlohn,+49 2371 8220,verlag@ikz-online.de,http://www.ikz-online.de,Regional,Mitarbeiteranzahl: 5 - 9,,"Verlage (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,599135,Wörle Druck- und Verlags GmbH,"Friedrich-Bergius-Ring 28, DE-97076 Würzburg",Friedrich-Bergius-Ring,28,DE-97076,Würzburg,+49 931 279810,post@woerle-druck.de,http://www.woerle-druck.de,Europaweit,Mitarbeiteranzahl: 1 - 4,,"Akzidenzdruck (producer), Bedrucken von Etiketten (producer), Bogenoffsetdruck (producer), Buchdruck (Druckverfahren) (producer), Bücher (producer), Druck von Büchern (producer), Fachzeitschriften (service), Fachzeitungen (producer), Foliendruck, digitaler (producer), Großdruckereien (producer), Großformatdruck (producer), Heißfoliendruck (producer), Offsetdruck (producer), Offsetdruck, digitaler (producer), Prägedruck (producer), Rollenoffsetdruck (producer), Siebdruck (producer), Textildruck, digitaler (producer), Zeitschriftenverlage (service), Zeitungsdruck (producer), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1518361,Wochenblatt Verlagsgruppe GmbH & Co. KG,"Maybachstrasse 8, DE-84030 Landshut",Maybachstrasse,8,DE-84030,Landshut,+49 871 1419124,info@wochenblatt.de,http://www.wochenblatt.de,National,Mitarbeiteranzahl: 50 - 99,,"Verlage (service), Werbeanzeigen (producer), Zeitschriftenverlage (service), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1239941,W. Jahn Verlag GmbH & Co.KG,"Schloitweg 19-21, DE-59494 Soest",Schloitweg,19-21,DE-59494,Soest,+49 2921 6880,internet@soester-anzeiger.de,http://www.soester-anzeiger.de,Regional,"Gründungsjahr: 1848, Mitarbeiteranzahl: 50 - 99",,"Offsetdruck (service), Verlage (service), Werbeanzeigen (service), Zeitschriftenverlage (service), Zeitungen, überregionale (producer), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1519380,Verlag RIECK GmbH & Co. KG,"Lange Strasse 122, DE-27749 Delmenhorst",Lange Strasse,122,DE-27749,Delmenhorst,+49 4221 156666,verlag@dk-online.de,http://www.dk-online.de,Regional,"Gründungsjahr: 1822, Mitarbeiteranzahl: 50 - 99",,"Anzeigenservice für Publikationen (service), Stellenanzeigen (service), Verlage (service), Werbeanzeigen (service), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,950005,Ungeheuer + Ulmer KG GmbH + Co,"Körnerstrasse 14-18, DE-71634 Ludwigsburg",Körnerstrasse,14-18,DE-71634,Ludwigsburg,+49 7141 130440,service@u-u-druck.de,http://www.u-u-druck.de,Europaweit,Mitarbeiteranzahl: 100 - 199,,"Bogenoffsetdruck (service), Druckerzeugnisse (service), Druckfullservice (service), Druck von Büchern (service), Druck von Zeitschriften (service), Druckvorstufen (service), Imagebroschüren (service), Kataloge (service), Offsetdruck (service), Prospekte (service), Rollenoffsetdruck (service), Weiterverarbeitung von Druckerzeugnissen (service), Werbebeilagen für Zeitschriften und Zeitungen (service), Werbebroschüren (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1698470,TipTopDruck.de - Druckerei Inh. Thomas Saupp,"Karl-Schäfer-Strasse 8, DE-64625 Bensheim",Karl-Schäfer-Strasse,8,DE-64625,Bensheim,+49 6251 932123,service@TipTopDruck.de,http://tiptopdruck.de,Europaweit,Mitarbeiteranzahl: 5 - 9,,"Bedrucken von Etiketten (producer, service, distrib, wholesaler), Bogenoffsetdruck (producer, service, distrib, wholesaler), Buchdruck (Druckverfahren) (producer, service, distrib, wholesaler), Druck von Büchern (producer, service, distrib, wholesaler), Duftdruck (producer, service, distrib, wholesaler), Endlosdruck (service, distrib, wholesaler), Flitterdruck (Glimmerdruck) (producer, service, distrib, wholesaler), Foliendruck (producer, service, distrib, wholesaler), Foliendruck, digitaler (producer, service, distrib, wholesaler), Foliensiebdruck (producer, service, distrib, wholesaler), Golddruck (producer, service, distrib, wholesaler), Großdruckereien (producer, service, distrib, wholesaler), Großformatdruck (producer, service, distrib, wholesaler), Großformatsiebdruck (producer, service, distrib, wholesaler), Kataloge (producer, service, distrib, wholesaler), Leinwanddruck (producer, service, distrib, wholesaler), Mehrfarbendruck (producer, service, distrib, wholesaler), Offsetdruck (producer, service, distrib, wholesaler), Offsetdruck, digitaler (producer, service, distrib, wholesaler), Offsetdruck, einfarbiger (producer, service, distrib, wholesaler), Offsetdruck in Fotoqualität (producer, service, distrib, wholesaler), Prägedruck (producer, service, distrib, wholesaler), Prägefoliendruck (producer, service, distrib, wholesaler), Rollenoffsetdruck (producer, service, distrib, wholesaler), Siebdruck (producer, service, distrib, wholesaler), UV-Druck (producer, service, distrib, wholesaler), UV-Offsetdruck (producer, service, distrib, wholesaler), Zeitungsdruck (producer, service, distrib, wholesaler)"
Druckereien,Zeitungsdruck,121,1241413,Thüringer Allgemeine Verlag GmbH & Co. KG,"Gottstedter Landstrasse 6, DE-99092 Erfurt",Gottstedter Landstrasse,6,DE-99092,Erfurt,+49 361 2274,redaktion@thueringer-allgemeine.de,http://www.thueringer-allgemeine.de,Regional,"Gründungsjahr: 1990, Mitarbeiteranzahl: 100 - 199",,"Verlage (service), Werbeanzeigen (service), Zeitschriftenverlage (service), Zeitungen, überregionale (service), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1723253,T² Media Manufaktur Bosa UG,"Bergstedter Kirchenstrasse 11, DE-22395 Hamburg",Bergstedter Kirchenstrasse,11,DE-22395,Hamburg,+49 40 64430990,klaus.toede@t-hoch-2.de,http://www.t-hoch-2.de,National,Mitarbeiteranzahl: 1 - 4,,"Broschürenfertigung (service), Druck von Büchern (service), Geschäftsdrucksachen (producer), Imagebroschüren (producer), Kataloge (service), Printservice (service), Werbebroschüren (producer), Werbedrucksachen (producer), Werbeflyer (producer), Werbeplakate (producer), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1425997,Stefan Sittmann/Ralf Kleff GbR,"Im Resch 1, DE-54340 Naurath",Im Resch,1,DE-54340,Naurath,+49 6508 917575,info@nurdruck.de,http://www.nurdruck.de,National,Mitarbeiteranzahl: 1 - 4,,"Akzidenzdruck (service), Aufkleber (service, wholesaler), Bauschilder (service, wholesaler), Bogenoffsetdruck (service), Briefpapier (service, wholesaler), Briefumschläge, bedruckte (service, wholesaler), Broschürenfertigung (service), Büropapiere (service, wholesaler), Corporate Design (service), Digitaldrucke (service, wholesaler), Digitales Drucken (service), Direktmarketing (service), Druckagenturen (service), Druckerzeugnisse (service, wholesaler), Druck von Büchern (service), Druck von Zeitschriften (service), Full Service-Werbung (service), Geschäftsdrucksachen (service, wholesaler), Gestaltung von Geschäftsdrucksachen (service), Grafik-Design (service), Hoteldrucksachen (service, wholesaler), Imagebroschüren (service, wholesaler), Internet-Agenturen (service), Internet-Dienstleistungen (service), Internet-Werbeagenturen (service), Kalender (service, wholesaler), Leinwanddruck (service), Offsetdruck (service), Personalisierung von Drucksachen (service), Poster (service, wholesaler), Prospekte (service, wholesaler), Verlage (service, wholesaler), Visitenkarten (service, wholesaler), Web-Design (service), Werbeagenturen (service), Werbeanzeigen (service), Werbeberatung (service), Werbebroschüren (service, wholesaler), Werbedrucksachen (service, wholesaler), Werbeflyer (service, wholesaler), Werbegestaltung (service), Zeitschriftenverlage (service), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1598790,Sonntagskurier GmbH,"Bäckerstrasse 19, DE-44532 Lünen",Bäckerstrasse,19,DE-44532,Lünen,+49 2306 928480,info@sonntagskurier.de,http://www.sonntagskurier.de/,Regional,Mitarbeiteranzahl: 10 - 19,,"Verlage (service), Werbeanzeigen (producer), Zeitschriftenverlage (service), Zeitungen, überregionale (producer), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1039059,Sindelfinger - Böblinger Zeitung,"Böblinger Strasse 76, DE-71065 Sindelfingen",Böblinger Strasse,76,DE-71065,Sindelfingen,+49 7031 8620,anzeigen@szbz.de,http://www.szbz.de,Regional,Mitarbeiteranzahl: 50 - 99,,"Offsetdruck (service), Siebdruck (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1022894,Seligenstädter Einhard-Verlag Schwarzkopf GmbH,"Marktpl. 14, DE-63500 Seligenstadt",Marktpl.,14,DE-63500,Seligenstadt,+49 6182 22821,anzeigen@kurier-seligenstadt.de,http://www.kurier-seligenstadt.de,Regional,Mitarbeiteranzahl: 10 - 19,,"Stadtmagazine (producer, service), Stellenanzeigen (producer, service), Werbeanzeigen (producer, service), Werbebeilagen für Zeitschriften und Zeitungen (producer, service), Zeitungsdruck (producer, service), Zeitungsverlage (producer, service), Zeitungswerbung (producer, service)"
Druckereien,Zeitungsdruck,121,1689163,Schwäbischer Verlag GmbH & Co. KG Co. KG,"Hauptstrasse 100, DE-88348 Bad Saulgau",Hauptstrasse,100,DE-88348,Bad Saulgau,+49 7581 20516,saulgau_anz@schwaebische.de,http://www.schwaebische.de,National,,,"Anzeigenmanagement (service), Druckerzeugnisse (producer), Pressevertrieb (service), Verlage (service), Zeitungen, überregionale (producer), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,949997,Schenkelberg Stiftung & Co KG aA,"Am Hambuch 17, DE-53340 Meckenheim",Am Hambuch,17,DE-53340,Meckenheim,+49 2225 88930,info@schenkelberg-ag.de,http://www.schenkelberg-ag.de,Europaweit,"Gründungsjahr: 1998, Mitarbeiteranzahl: 100 - 199",,"Druckerzeugnisse (producer), Druck- und Mediendienstleistungen (service), Offsetdruck (service), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,874955,Sächsische Zeitung GmbH,"Ostra-Allee 20, DE-01067 Dresden",Ostra-Allee,20,DE-01067,Dresden,+49 351 035148640,oeffentlichkeitsarbeit@dd-v.de,http://www.ddv-mediengruppe.de/,National,,,"Anzeigenpapiere, Bücher, Call-Center (Dienstleistung), Druck von Büchern, Druck von Zeitschriften, Fachzeitschriften, Fachzeitungen, Kataloge, Kundenzeitungen, Nachrichtenagenturen, Prospekte, Publikumszeitschriften, Software für mobile Endgeräte, Verlagsbüros, Werbeagenturen, Zeitungsdruck"
Druckereien,Zeitungsdruck,121,1002182,Rotenberg Verlag GmbH,"Wilhelmstrasse 18/20, DE-70372 Stuttgart",Wilhelmstrasse,18/20,DE-70372,Stuttgart,+49 711 955680,lokales@caze-online.de,http://www.cannstatter-zeitung.de,Regional,Mitarbeiteranzahl: 20 - 49,,"Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1402741,röhm typofactory Marketing GmbH,"Böblinger Strasse 68, DE-71065 Sindelfingen",Böblinger Strasse,68,DE-71065,Sindelfingen,+49 7031 862630,info@roehm-druck.de,http://www.roehm-druck.de,National,"Gründungsjahr: 1893, Mitarbeiteranzahl: 10 - 19",,"Auftragsvermittlung (service), Corporate Design (service), Digitaldrucke (service), Digitales Drucken (service), Großformatdruck, digitaler (service), Offsetdruck (service), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,1060975,Remscheider Medienhaus GmbH & Co. KG,"Alleestrasse 77-81, DE-42853 Remscheid",Alleestrasse,77-81,DE-42853,Remscheid,+49 2191 9090,rga@rga-online.de,http://www.rga-online.de,National,Mitarbeiteranzahl: 100 - 199,,"Bücher (producer), Druck von Büchern (service), Fachbücher (service), Fachbuchverlage (service), Internet-Beratung (service), Internet-Dienstleistungen (service), Offsetdruck (service), Online-Publishing (producer), Verlage (service), Versandbuchhandel (service), Web-Design (service), Zeitschriftenverlage (service), Zeitungsdruck (producer), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,505888,Ralf Hellriegel,"Waldstrasse 1, DE-64297 Darmstadt",Waldstrasse,1,DE-64297,Darmstadt,+49 6151 880063,info@ralf-hellriegel-verlag.de,http://www.bessungen-ludwigshoehe.de,Regional,Mitarbeiteranzahl: 1 - 4,,"Anzeigenmanagement (service), Fotosatzherstellung (producer, service), Verlage (producer, service), Werbeagenturen (service), Werbeanzeigen (producer, service), Werbeaufdrucke (producer, service), Zeitungen, überregionale (producer), Zeitungsdruck (service), Zeitungsverlage (producer, service)"
Druckereien,Zeitungsdruck,121,1107931,Pressevertrieb Neuss GmbH,"Moselstrasse 14, DE-41464 Neuss",Moselstrasse,14,DE-41464,Neuss,+49 2131 404500,pvn@pvneuss.de,http://www.pvneuss.de,Regional,"Gründungsjahr: 1982, Mitarbeiteranzahl: 5 - 9",,"Offsetdruck (service), Verlage (service), Werbeanzeigen (producer), Zeitschriftenverlage (service), Zeitungen, überregionale (producer), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1532218,Pressehaus Heidenhaum,"Olgastrasse 15, DE-89518 Heidenheim",Olgastrasse,15,DE-89518,Heidenheim,+49 7321 3470,internet@hz-online.de,http://www.hz-online.de,Regional,Mitarbeiteranzahl: 100 - 199,,"Verlage (service), Werbeanzeigen (producer), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1544696,PixxUp.de Inh.: Matthias Wolf,"Lieboldstrasse 3, DE-08107 Kirchberg",Lieboldstrasse,3,DE-08107,Kirchberg,+49 37602 76122,m.wolf@pixxup.de,http://www.isyprint.de,Weltweit,Mitarbeiteranzahl: 1 - 4,,"Acetatseidenetiketten (service), Anhängeetiketten (service), Ansichtspostkarten (producer), Auszeichnungsetiketten (service), Autogrammkarten (producer), Bannerwerbung (producer, service), Barcode-Etiketten (service), Bedrucken von Etiketten (producer, service), Bildpostkarten (producer), Bild-Visitenkarten (producer), Design von Glückwunschkarten (producer, service), Digitaldrucke (producer, service), Digitales Drucken (service), Drucken bei Bedarf (Print on demand) (service), Druckerzeugnisse (producer), Drucketiketten (producer, service), Druckfullservice (producer, service), Drucksachen, nummerierte (producer), Druck von Abitur-Jahrgangsbüchern (service), Druck von Büchern (service), Dünnplastikkarten (producer), Einladungskarten (producer), Etiketten (service), Etiketten auf Bogen (producer, service), Etiketten aus Kunststoff-Folie (service), Etiketten, digital bedruckte (producer), Etiketten für die Automobilindustrie (service), Etiketten für die chemische Industrie (service), Etiketten für die Stahlindustrie (service), Etiketten für Matratzen und Teppiche (producer), Etiketten, individuelle (service), Etiketten, wetterfeste (producer, service), Farbdrucke, digitale (producer), Foliendruck (service), Foliendruck, digitaler (service), Folienetiketten (producer, service), Formulare (producer), Formulare mit integrierten Plastikkarten (producer), Fotodrucke, digitale (producer), Fotokarten (producer), Frankieretiketten (producer, service), Geschäftsdrucksachen (producer), Glückwunschkarten (producer), Grafik-Karten (producer), Großformatdruck (producer, service), Großformatdruck, digitaler (producer), Grußkarten (producer), Haftetiketten (producer, service), Haftetiketten, farbige (producer, service), Hochzeitskarten (producer), Inventaretiketten (producer, service), Kalender (producer), Kataloge (producer, service), Kennzeichnungsetiketten (producer), Kosmetiketiketten (producer, service), Kundenkarten (producer), Kunstkarten (Klappkarten) (producer), Kunstpostkarten (producer), Leinwanddruck (producer, service), Leitkarten aus Kunststoff (producer), Magnetetiketten (producer, service), Mailing-Postkarten (Carriercards) (producer), Mailings mit integrierten Plastikkarten (producer), Mehrfarbendruck (service), Mitgliedskarten (producer), Nummern-Etiketten (producer, service), Online-Druckservice (service), Papieretiketten (producer), Personalisierung von Drucksachen (service), Pflanzenetiketten (producer, service), Plastikkarten (producer), Plastikkartendruck (producer, service), Poster (producer), Poster-Sofortdruck, computerunterstützter (service), Printservice (producer, service), Produktkennzeichnungsetiketten (producer, service), Prospekte (producer), Sammelkartenspiele (producer, service), Schilder (producer), Sicherheitsdruck (service), Speisekartenmappen (producer), Speise- und Getränkekarten (producer), Spezialdruckereien (service), Spielkarten (producer, service), Spielkarten, kundenspezifische (producer, service), Spielkarten mit Werbeaufdruck (producer, service), Textildruck, digitaler (producer, service), Ticketdruck (service), Verpackungsdruck (service), Visitenkarten (producer), Visitenkarten aus Kunststoff (producer), Visitenkarten, selbstklebende (producer), Werbebroschüren (producer), Werbeetiketten (producer, service), Werbeflyer (producer), Werbeplakate (producer), Werbepostkarten (producer), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,1010423,OWZ-Verlags-GmbH,"Industriestrasse 23, DE-34369 Hofgeismar",Industriestrasse,23,DE-34369,Hofgeismar,+49 5671 994441,info@owz-verlag.de,http://www.owz-verlag.de,Regional,Mitarbeiteranzahl: 20 - 49,,"Anzeigenservice für Publikationen (service), Digitaldrucke (service), Digitales Drucken (service), Druckerzeugnisse (service), Druckvorstufen (service), Fachzeitschriften (service), Foto-Design (service), Fotografie, digitale (service), Geschäftsdrucksachen (service), Grafik-Design (service), Imagebroschüren (service), Kommunikations-Design (service), Offsetdruck (service), Printservice (service), Prospekte (producer, service), Verlage (service), Visitenkarten (service), Werbeanzeigen (service), Werbebeilagen für Zeitschriften und Zeitungen (service), Werbebroschüren (service), Werbedienstleistungen (service), Werbeentwürfe (service), Werbeflyer (service), Werbefotos (service), Werbegestaltung (service), Zeitschriftenverlage (service), Zeitungen, überregionale (producer, service), Zeitungsdruck (producer, service), Zeitungsverlage (producer, service), Zeitungswerbung (producer, service)"
Druckereien,Zeitungsdruck,121,1518601,OTZ-DRUCKZENTRUM GmbH & Co. KG,"Alte Strasse 3, DE-04626 Löbichau",Alte Strasse,3,DE-04626,Löbichau,+49 3447 525762,betriebsleitung@otz-druckzentrum.de,http://www.otz-druckzentrum.de,National,"Gründungsjahr: 1991, Mitarbeiteranzahl: 50 - 99",,"Werbebeilagen für Zeitschriften und Zeitungen (producer), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,598565,ORD Oberhessiche Rollen-Druck GmbH,"Ernst-Diegel-Strasse 12, DE-36304 Alsfeld",Ernst-Diegel-Strasse,12,DE-36304,Alsfeld,+49 6631 96900,h.limpert@ord-gmbh.de,http://www.ord-gmbh.de,National,Mitarbeiteranzahl: 10 - 19,,"Offsetdruck (service), Rollenoffsetdruck (service), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,614599,Oppermann Druck- und Verlags GmbH & Co,"Gutenbergstrasse 1, DE-31552 Rodenberg",Gutenbergstrasse,1,DE-31552,Rodenberg,+49 5723 7000,info.verlag@oppermann-druck-u-verlag.de,http://www.oppermann-druck.de,National,Mitarbeiteranzahl: 200 - 499,,"Offsetdruck (service), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,273633,Neue Presse Verlags-GmbH,"Medienstrasse 5, DE-94036 Passau",Medienstrasse,5,DE-94036,Passau,+49 851 802894,Marketing@vgp.de,http://www.pnp.de,Regional,Mitarbeiteranzahl: 500 - 999,,"Werbebeilagen für Zeitschriften und Zeitungen (producer, service), Zeitungsdruck (producer, service), Zeitungsverlage (producer, service)"
Druckereien,Zeitungsdruck,121,1108809,MWB Medien GmbH,"Carl-Benz-Strasse 11, DE-82205 Gilching",Carl-Benz-Strasse,11,DE-82205,Gilching,+49 8138 4444,info@mwb-medien.de,http://www.mwb-medien.de,National,,,"Aktionswerbung (producer, service), Anzeigenmanagement (producer, service), Anzeigenservice für Publikationen (producer, service), Druckvorlagen (producer, service), Kundenzeitungen (producer, service), Marketing-Beratung (producer, service), Mitarbeiterzeitschriften (producer, service), Online-Werbung (producer, service), Prospekte (producer, service), Stadtmagazine (producer, service), Stellenanzeigen (producer, service), Verlage (producer, service), Werbeanzeigen (producer, service), Werbebeilagen für Zeitschriften und Zeitungen (producer, service), Werbeflyer (producer, service), Werbeplanung (producer, service), Zeitungsdruck (producer, service), Zeitungsverlage (producer, service), Zeitungswerbung (producer, service)"
Druckereien,Zeitungsdruck,121,1243345,Münchner Wochenend Zeitung GmbH,"Moosacher Strasse 56-58, DE-80809 München",Moosacher Strasse,56-58,DE-80809,München,+49 89 3121480,herausgeber@wochenanzeiger.de,http://www.wochenanzeiger.de,Regional,Mitarbeiteranzahl: 10 - 19,,"Anzeigenmanagement (service), Werbeanzeigen (service), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1530709,Müllheimer Verlagsgesellschaft mbH,"Am Lindle 4, DE-79379 Müllheim",Am Lindle,4,DE-79379,Müllheim,+49 7631 5026,info@markgraefler-buergerblatt.de,http://www.markgraefler-buergerblatt.de,Regional,Mitarbeiteranzahl: 1 - 4,,"Verlage (service), Werbeanzeigen (producer), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1767058,Mittelhessische Druck- und Verlagshaus GmbH & Co. KG,"Marburger Strasse 20, DE-35390 Gießen",Marburger Strasse,20,DE-35390,Gießen,+49 641 30030,info@giessener-allgemeine.de,http://www.giessener-allgemeine.de,Regional,Mitarbeiteranzahl: 100 - 199,,"Verlage (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1016732,Mittelbayerischer Verlag,"Kumpfmühler Strasse 15, DE-93047 Regensburg",Kumpfmühler Strasse,15,DE-93047,Regensburg,+49 941 2070,monika.zirngibl@mittelbayerische.de,http://www.mittelbayerische.de,Regional,Mitarbeiteranzahl: 500 - 999,,"Werbebeilagen für Zeitschriften und Zeitungen (service), Zeitungsdruck (service), Zeitungsverlage (service), Zeitungswerbung (service)"
Druckereien,Zeitungsdruck,121,1056321,Meikl-Werbeteam GmbH,"Hauptstrasse 41A, DE-97437 Haßfurt",Hauptstrasse,41A,DE-97437,Haßfurt,+49 9521 2318,Info@hassberg-echo.de,http://www.hassberg-echo.de,National,Mitarbeiteranzahl: 5 - 9,,"Werbeanzeigen (service), Zeitungsdruck (service)"
